id,credit_score,income,no_accounts,total_amount
00022759-5c63-4f0a-825a-747b3162c083,661,46000,6,7500
00028089-6879-499e-a14f-bddb02b9844a,669,5000,6,1149
0002c91c-c795-425e-9182-0ba6b73d3e5e,632,5000,3,1169.1
0004a4cf-edbc-4318-9fdb-1d485aa938bf,599,15000,6,450
00050339-896d-4628-a3e8-03b0409f61b6,571,35000,1,649
0005b645-e9a1-47fe-ace9-b12c5861794c,594,15000,2,628
0007b639-7dff-49f0-94cf-202a48bc8fbf,673,60000,12,599.2
000837fc-1f3c-4c12-836c-56c1c4b43a82,583,45000,3,828.8
000a28af-cccb-4706-886a-60cdc5a9c13e,608,25000,4,318.55
000a57da-1dbb-4b78-a191-f0d76d75e629,642,45000,7,900
000a7b18-c619-43f8-b484-e090f70921ad,661,20000,8,2200
000a82d4-86e8-418e-b661-acc67423b4d7,645,25000,7,524
000cb5f3-d3aa-406b-98ab-8a8ef173ff28,517,10000,11,3387
000f96dd-dc27-4494-a227-9d8632bbeff8,687,125000,9,1027.79
001006e7-ceaf-499b-9971-a744b7328731,570,10000,4,599
001090fb-2543-4948-bff1-c3b6bfaa9174,503,15184,1,734
0011a77e-27af-4f94-9c3a-c6c38c6cf136,609,30000,5,2232
00127992-c355-47a1-a6c6-ad1ba4989c8d,562,20000,1,1000
0019a7ca-abf3-4dc4-848b-76dbab1dfbcf,541,20000,3,589
0019ae7f-b584-4a24-99b1-4b94a08f8c61,550,15000,6,536.74
001d0dc4-eca0-472c-b78d-b587ab9190b4,539,25000,4,988.2
001da54e-8de3-43c3-9ed4-47c957b4b7df,591,30000,8,599
001dbf40-35fd-49e9-88fc-5531863252e8,578,15000,11,3988
001e0001-3480-4269-ae75-0c5f9584f988,591,20000,2,440
001f7732-6b3f-4e52-ba54-38c740d47320,521,30000,11,699
0020bea0-1d29-4c7c-93bc-7867b6aa51ab,574,18000,14,699
0020d3df-a97e-4d51-99e4-641fe3ee4245,610,25000,6,711.2
0020f23e-ea50-42d6-9a6e-9713890ffd2f,549,24000,5,1001.7
00227548-2a96-44f7-84a5-ef9a2a8c983e,538,28000,6,853.2
0022e5f3-466d-472b-831b-122d813859de,494,15000,14,749
00238255-a523-4bef-85e6-0b1cbb0cd081,523,60000,10,1566
00249142-4c27-41b1-bfe6-8288c7980025,579,10000,6,749
00276b64-029c-43b6-91d8-716d3ea66bf5,557,25000,10,3988
00284636-9337-4294-b453-0aa3274efa14,626,40000,4,629.1
002870c5-8765-42e0-903b-b86f9a5d83e9,649,10000,6,3000
002874b3-48d5-40fa-9630-f985aded269b,584,45000,3,5219.1
0029270c-c87b-4dd3-a16a-cfd45fbd9cfe,659,14100,2,730.5
002b0b3b-d1e7-4a33-95ec-70567b9b430a,610,40000,4,421.19
002b5c6f-94b5-4300-b444-f3a19afad1af,542,25000,1,3988
002c4b19-3c5c-4778-b7bd-74be14c4b857,502,40000,7,335.69
002cd921-05dd-4bda-b9e6-64e0ab0194e0,638,15000,5,3387
003118c9-8f95-46c2-b259-6209c9a6bc8b,658,25000,7,3102
0037e832-e237-47a2-bede-6dc89a2fb025,603,60000,9,424.8
003d9588-0841-4262-b9b9-d03b5a2f2fa7,713,50000,10,929.3
003e1194-fee6-4bff-bdcb-b96cc6200aee,621,35000,5,665
0040075b-6740-46de-bec9-66fb623436fd,626,35000,8,1138.34
00406a48-1279-46a7-9492-c03a73181fea,561,25000,11,5751.9
00412094-2628-4e6d-bd7b-a0844cc3116f,619,5000,2,439.2
0044eb5e-2a83-48c1-b589-88b483c71cb1,652,45000,11,849
004855ed-0c03-4f05-bec3-4963a83dc027,671,25000,4,404.1
00493485-2146-48b7-b1fa-472dbbb8339e,546,20000,3,3387
004a982a-c00b-49ca-87a5-4886706f3c69,571,22000,8,2727
004ad528-7c6d-4aa3-819a-22f93c5399f5,584,25000,0,1043.1
004b5c6a-6a79-415e-a727-3dbda81301b8,653,30000,12,8712.2
004c66c4-7049-4255-b311-63bec2c76c5b,525,20000,23,649
004f106a-6b52-461d-a5c3-9fe25a5179b9,656,35000,11,152
004f29b6-0aca-433d-844b-31f1893cbe04,529,25000,9,745
004f6d83-0b1a-4e2e-9f5b-cc8449da6487,660,30000,9,523.2
004f77a8-b3a0-4626-ad85-d52a106c88c3,597,65000,3,745
0050b0f0-315e-4c50-8096-67664fe19df7,631,10000,4,3929.4
0050c72e-be98-40ca-8885-a2fb2673d1ce,673,29000,15,4652
0051fdb0-b750-451f-8883-b3f168a4bcf9,634,20000,2,1548.34
00537eb3-87e3-434b-93a7-b8943cf9cdee,615,30000,8,699
00589ef1-2869-41fe-a7ec-bc5dd48a7f57,596,20000,12,415.62
00595b59-d9ce-4a99-9faa-bb3bc8d2accc,713,30000,8,1495
005bb7ae-a1d2-4094-b9d7-999717d70a13,564,25000,0,749
